('ingredient', 'Cereals', 'Cereal')
('ingredient', 'Cereals', 'Avena')
('ingredient', 'Cereals', 'Bombay_rava')
('ingredient', 'Cereals', 'Bran')
('ingredient', 'Cereals', 'Brose')
('ingredient', 'Cereals', 'Buckwheat')
('ingredient', 'Cereals', 'Canary_grass')
('ingredient', 'Cereals', 'Canjica')
('ingredient', 'Cereals', 'Cereal_germ')
('ingredient', 'Cereals', 'Commercial_sorghum')
('ingredient', 'Cereals', 'Distichlis_palmeri')
('ingredient', 'Cereals', 'Eragrostis_tef')
('ingredient', 'Cereals', 'Farro')
('ingredient', 'Cereals', 'Freekeh')
('ingredient', 'Cereals', 'Grist')
('ingredient', 'Cereals', 'Malt')
('ingredient', 'Cereals', 'Millet')
('ingredient', 'Cereals', 'Oat')
('ingredient', 'Cereals', 'Ponk')
('ingredient', 'Cereals', 'Refined_grains')
('ingredient', 'Cereals', 'Rolled_oats')
('ingredient', 'Cereals', 'Rye')
('ingredient', 'Cereals', 'Rye_flakes')
('ingredient', 'Cereals', 'Semolina')
('ingredient', 'Cereals', 'Sorghum')
('ingredient', 'Cereals', 'Sudan_grass')
('ingredient', 'Cereals', 'Sweet_sorghum')
('ingredient', 'Cereals', 'Thatching')
('ingredient', 'Cereals', 'Thinopyrum_intermedium')
('ingredient', 'Cereals', 'Triticale')
('ingredient', 'Cereals', 'Triticeae')
('ingredient', 'Cereals', 'Whole_grain')
('ingredient', 'Cereals', 'Whole_Grain_Stamp')
('ingredient', 'Cereals', 'Winter_cereals')
('ingredient', 'Cereals', 'Zadoks_scale')
('ingredient', 'Cereals', 'Barley', 'Barley')
('ingredient', 'Cereals', 'Barley', 'Talbina')
('ingredient', 'Cereals', 'Barley', 'ABB_Grain')
('ingredient', 'Cereals', 'Barley', 'Barley_bread')
('ingredient', 'Cereals', 'Barley', 'Canadian_Wheat_Board')
('ingredient', 'Cereals', 'Barley', 'Barley_honey')
('ingredient', 'Cereals', 'Barley', 'Hordeum_pusillum')
('ingredient', 'Cereals', 'Barley', 'Barley_malt_syrup')
('ingredient', 'Cereals', 'Barley', 'Pearl_barley')
('ingredient', 'Cereals', 'Barley', 'Wheat_pool')
('ingredient', 'Cereals', 'Flour', 'Flour')
('ingredient', 'Cereals', 'Flour', 'Atta_flour')
('ingredient', 'Cereals', 'Flour', 'Blue_corn_meal')
('ingredient', 'Cereals', 'Flour', 'Cake_meal')
('ingredient', 'Cereals', 'Flour', 'Chopin_Alveograph')
('ingredient', 'Cereals', 'Flour', 'Cornmeal')
('ingredient', 'Cereals', 'Flour', 'Els_Enfarinats')
('ingredient', 'Cereals', 'Flour', 'Enriched_flour')
('ingredient', 'Cereals', 'Flour', 'Farinetta')
('ingredient', 'Cereals', 'Flour', 'Five_Roses_Flour')
('ingredient', 'Cereals', 'Flour', 'Gofio')
('ingredient', 'Cereals', 'Flour', 'Graham_flour')
('ingredient', 'Cereals', 'Flour', 'Gram_flour')
('ingredient', 'Cereals', 'Flour', 'Ladoo_flour')
('ingredient', 'Cereals', 'Flour', 'Maida_flour')
('ingredient', 'Cereals', 'Flour', 'Masa')
('ingredient', 'Cereals', 'Flour', 'Mesquite_flour')
('ingredient', 'Cereals', 'Flour', 'Montina')
