('ingredient', 'Cheese', ' Egypt', 'Testouri_cheese')
('ingredient', 'Cheese', ' Egypt', 'Roomy_cheese')
('ingredient', 'Cheese', ' Mauritania', 'Caravane_cheese')
('ingredient', 'Cheese', ' South Africa', 'Bokmakiri_cheese')
('ingredient', 'Cheese', ' South Africa', 'Kwaito_cheese')
('ingredient', 'Cheese', ' Armenia', 'Lori')
('ingredient', 'Cheese', ' Bangladesh', 'Chhena')
('ingredient', 'Cheese', ' China', 'Rubing')
('ingredient', 'Cheese', ' China', 'Rushan_(cheese)')
('ingredient', 'Cheese', ' China', 'Nguri_(cheese)')
('ingredient', 'Cheese', ' China', 'Tibet')
('ingredient', 'Cheese', ' Georgia', 'Suluguni')
('ingredient', 'Cheese', ' India', 'Paneer')
('ingredient', 'Cheese', ' India', 'Chhena')
('ingredient', 'Cheese', ' India', 'Khoa_(food)')
('ingredient', 'Cheese', ' Japan', 'Sakura_cheese')
('ingredient', 'Cheese', ' Middle East', 'Labneh')
('ingredient', 'Cheese', ' Middle East', 'Ackawi')
('ingredient', 'Cheese', ' Middle East', 'Basket_cheese')
('ingredient', 'Cheese', ' Middle East', 'Labneh')
('ingredient', 'Cheese', ' Middle East', 'Jameed')
('ingredient', 'Cheese', ' Middle East', 'Jibneh_Arabieh')
('ingredient', 'Cheese', ' Middle East', 'Nabulsi_(cheese)')
('ingredient', 'Cheese', ' Middle East', 'Paneer')
('ingredient', 'Cheese', ' Middle East', 'Shanklish')
('ingredient', 'Cheese', ' Middle East', 'Syrian_cheese')
('ingredient', 'Cheese', ' Nepal', 'Flower_of_Rajya')
('ingredient', 'Cheese', ' Philippines', 'Kesong_or_Quesong_Puti')
('ingredient', 'Cheese', ' Tibet', 'Chura_kampo')
('ingredient', 'Cheese', ' Tibet', 'Chura_loenpa')
('ingredient', 'Cheese', ' Tibet', 'Chhurpi')
('ingredient', 'Cheese', ' Austria', 'Brimsen')
('ingredient', 'Cheese', ' Austria', 'Tyrolean_grey_cheese')
('ingredient', 'Cheese', ' Belgium', 'Limburger_cheese')
('ingredient', 'Cheese', ' Belgium', 'Brussels_cheese')
('ingredient', 'Cheese', ' Belgium', 'Chimay')
('ingredient', 'Cheese', ' Belgium', 'Herve_cheese')
('ingredient', 'Cheese', ' Belgium', 'Limburger_cheese')
('ingredient', 'Cheese', ' Belgium', 'Maredsous_cheese')
('ingredient', 'Cheese', ' Belgium', 'Passendale_cheese')
('ingredient', 'Cheese', ' Belgium', 'Rodoric_cheese')
('ingredient', 'Cheese', ' Bosnia and Herzegovina', 'Livno_cheese')
('ingredient', 'Cheese', ' Bulgaria', 'Kashkaval')
('ingredient', 'Cheese', ' Bulgaria', 'Sirene')
('ingredient', 'Cheese', ' Cyprus', 'Halloumi')
('ingredient', 'Cheese', ' Cyprus', 'Anari_(cheese)')
('ingredient', 'Cheese', ' Cyprus', 'Halloumi')
('ingredient', 'Cheese', ' Cyprus', 'Kefalotyri')
('ingredient', 'Cheese', ' Czech Republic', 'Abertam_cheese')
('ingredient', 'Cheese', ' Denmark', 'Danish_Blue_cheese')
('ingredient', 'Cheese', ' Denmark', 'Danbo_cheese')
('ingredient', 'Cheese', ' Denmark', 'Danish_Blue_cheese')
('ingredient', 'Cheese', ' Denmark', 'Danish_tilsit')
('ingredient', 'Cheese', ' Denmark', 'Esrom')
('ingredient', 'Cheese', ' Denmark', 'Fynbo')
('ingredient', 'Cheese', ' Denmark', 'Havarti_cheese')
('ingredient', 'Cheese', ' Denmark', 'Molbo_cheese')
('ingredient', 'Cheese', ' Denmark', 'Saga_cheese')
('ingredient', 'Cheese', ' Denmark', 'Tybo')
('ingredient', 'Cheese', ' Finland', 'Aura_(cheese)')
('ingredient', 'Cheese', ' Finland', 'Lappi_cheese')
('ingredient', 'Cheese', ' Finland', 'Oltermanni')
('ingredient', 'Cheese', ' Finland', 'Raejuusto')
('ingredient', 'Cheese', ' France', 'List_of_French_cheeses')
('ingredient', 'Cheese', ' Germany', 'Bavaria_blu')
('ingredient', 'Cheese', ' Germany', 'Bonifaz')
('ingredient', 'Cheese', ' Germany', 'Cambozola')
('ingredient', 'Cheese', ' Germany', 'Harzer_cheese')
('ingredient', 'Cheese', ' Germany', 'Limburger_cheese')
('ingredient', 'Cheese', ' Germany', 'Limburger_cheese')
('ingredient', 'Cheese', ' Germany', 'Tilsit_cheese')
('ingredient', 'Cheese', ' Germany', 'Weisslacker')
('ingredient', 'Cheese', ' Greece', 'Anthotyros')
('ingredient', 'Cheese', ' Greece', 'Naxos')
('ingredient', 'Cheese', ' Greece', 'Protected_designation_of_origin')
('ingredient', 'Cheese', ' Greece', 'Metsovo')
('ingredient', 'Cheese', ' Greece', 'Feta_cheese')
('ingredient', 'Cheese', ' Greece', 'Protected_designation_of_origin')
('ingredient', 'Cheese', ' Greece', 'Peloponnese')
('ingredient', 'Cheese', ' Greece', 'Protected_designation_of_origin')
('ingredient', 'Cheese', ' Greece', 'Graviera')
('ingredient', 'Cheese', ' Greece', 'Kasseri_cheese')
('ingredient', 'Cheese', ' Greece', 'Protected_designation_of_origin')
('ingredient', 'Cheese', ' Greece', 'Kefalograviera')
('ingredient', 'Cheese', ' Greece', 'Kefalotyri_cheese')
('ingredient', 'Cheese', ' Greece', 'Protected_designation_of_origin')
('ingredient', 'Cheese', ' Greece', 'Kos')
('ingredient', 'Cheese', ' Greece', 'Protected_designation_of_origin')
('ingredient', 'Cheese', ' Greece', 'Chania_Prefecture')
('ingredient', 'Cheese', ' Greece', 'Manouri_cheese')
('ingredient', 'Cheese', ' Greece', 'Chios')
('ingredient', 'Cheese', ' Greece', 'Sifnos')
('ingredient', 'Cheese', ' Greece', 'Lemnos')
('ingredient', 'Cheese', ' Greece', 'Metsovo')
('ingredient', 'Cheese', ' Greece', 'Metsovone_cheese')
('ingredient', 'Cheese', ' Greece', 'Myzithra_cheese')
('ingredient', 'Cheese', ' Greece', 'Tinos')
('ingredient', 'Cheese', ' Greece', 'Protected_designation_of_origin')
