('ingredient', 'vegetables', 'Edible_legumes', 'Acacia_holosericea')
('ingredient', 'vegetables', 'Edible_legumes', 'Apios_americana')
('ingredient', 'vegetables', 'Edible_legumes', 'Azuki_bean')
('ingredient', 'vegetables', 'Edible_legumes', 'Bambara_groundnut')
('ingredient', 'vegetables', 'Edible_legumes', 'Bean')
('ingredient', 'vegetables', 'Edible_legumes', 'Bean_harvester')
('ingredient', 'vegetables', 'Edible_legumes', 'Canavalia_gladiata')
('ingredient', 'vegetables', 'Edible_legumes', 'Caragana_arborescens')
('ingredient', 'vegetables', 'Edible_legumes', 'Catjang')
('ingredient', 'vegetables', 'Edible_legumes', 'Ceratonia_siliqua')
('ingredient', 'vegetables', 'Edible_legumes', 'Chickpea')
('ingredient', 'vegetables', 'Edible_legumes', 'Cicer')
('ingredient', 'vegetables', 'Edible_legumes', 'Cordeauxia_edulis')
('ingredient', 'vegetables', 'Edible_legumes', 'Cowpea')
('ingredient', 'vegetables', 'Edible_legumes', 'Crotalaria_longirostrata')
('ingredient', 'vegetables', 'Edible_legumes', 'Detarium_senegalense')
('ingredient', 'vegetables', 'Edible_legumes', 'Fabes_de_la_Granja')
('ingredient', 'vegetables', 'Edible_legumes', 'Fenugreek')
('ingredient', 'vegetables', 'Edible_legumes', 'Green_bean')
('ingredient', 'vegetables', 'Edible_legumes', 'Guar')
('ingredient', 'vegetables', 'Edible_legumes', 'Honey_locust')
('ingredient', 'vegetables', 'Edible_legumes', 'Horse_gram')
('ingredient', 'vegetables', 'Edible_legumes', 'Inga_edulis')
('ingredient', 'vegetables', 'Edible_legumes', 'Inga_feuilleei')
('ingredient', 'vegetables', 'Edible_legumes', 'Lablab_purpureus')
('ingredient', 'vegetables', 'Edible_legumes', 'Lathyrus_aphaca')
('ingredient', 'vegetables', 'Edible_legumes', 'Lathyrus_japonicus')
('ingredient', 'vegetables', 'Edible_legumes', 'Lathyrus_sativus')
('ingredient', 'vegetables', 'Edible_legumes', 'Lentil')
('ingredient', 'vegetables', 'Edible_legumes', 'Lupin_bean')
('ingredient', 'vegetables', 'Edible_legumes', 'Macrotyloma_geocarpum')
('ingredient', 'vegetables', 'Edible_legumes', 'Mesquite')
('ingredient', 'vegetables', 'Edible_legumes', 'Moth_bean')
('ingredient', 'vegetables', 'Edible_legumes', 'Mucuna_pruriens')
('ingredient', 'vegetables', 'Edible_legumes', 'Mung_bean')
('ingredient', 'vegetables', 'Edible_legumes', 'Neptunia_oleracea')
('ingredient', 'vegetables', 'Edible_legumes', 'Parkia_speciosa')
('ingredient', 'vegetables', 'Edible_legumes', 'Parkinsonia_microphylla')
('ingredient', 'vegetables', 'Edible_legumes', 'Pea')
('ingredient', 'vegetables', 'Edible_legumes', 'Peanut')
('ingredient', 'vegetables', 'Edible_legumes', 'Pediomelum_cuspidatum')
('ingredient', 'vegetables', 'Edible_legumes', 'Phaseolus_acutifolius')
('ingredient', 'vegetables', 'Edible_legumes', 'Phaseolus_coccineus')
('ingredient', 'vegetables', 'Edible_legumes', 'Phaseolus_lunatus')
('ingredient', 'vegetables', 'Edible_legumes', 'Phaseolus_vulgaris')
('ingredient', 'vegetables', 'Edible_legumes', 'Pigeon_pea')
('ingredient', 'vegetables', 'Edible_legumes', 'Pithecellobium_dulce')
('ingredient', 'vegetables', 'Edible_legumes', 'Pochas')
('ingredient', 'vegetables', 'Edible_legumes', 'Prosopis_alba')
('ingredient', 'vegetables', 'Edible_legumes', 'Prosopis_glandulosa')
('ingredient', 'vegetables', 'Edible_legumes', 'Prosopis_nigra')
('ingredient', 'vegetables', 'Edible_legumes', 'Prosopis_pubescens')
('ingredient', 'vegetables', 'Edible_legumes', 'Prosopis_velutina')
('ingredient', 'vegetables', 'Edible_legumes', 'Psoralea_esculenta')
('ingredient', 'vegetables', 'Edible_legumes', 'Snap_pea')
('ingredient', 'vegetables', 'Edible_legumes', 'Snow_pea')
('ingredient', 'vegetables', 'Edible_legumes', 'Soybean')
('ingredient', 'vegetables', 'Edible_legumes', 'Split_pea')
('ingredient', 'vegetables', 'Edible_legumes', 'Tamarind')
('ingredient', 'vegetables', 'Edible_legumes', 'Tongue_of_Fire')
('ingredient', 'vegetables', 'Edible_legumes', 'Transgenic_soybean')
('ingredient', 'vegetables', 'Edible_legumes', 'Tylosema_esculentum')
('ingredient', 'vegetables', 'Edible_legumes', 'Vicia_faba')
('ingredient', 'vegetables', 'Edible_legumes', 'Vigna_mungo')
('ingredient', 'vegetables', 'Edible_legumes', 'Vigna_umbellata')
('ingredient', 'vegetables', 'Edible_legumes', 'Wattleseed')
('ingredient', 'vegetables', 'Edible_legumes', 'Winged_bean')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Leaf_vegetable')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Acalypha_bipartita')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Acalypha_ciliata')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Acalypha_fruticosa')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Acalypha_indica')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Achillea_millefolium')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Acmella_oleracea')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Alliaria_petiolata')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Allium_tricoccum')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Amaranth')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Amaranthus_acanthochiton')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Apium_prostratum')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Aralia_elata')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Asplenium_bulbiferum')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Atriplex_hortensis')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Barbarea')
